tag,true_label,cp_prediction,prediction_set,final_decision,fault_evidence,slow_gate_open,transient_gate_open,max_E_bar,transient_score
20260301_204447_w40_lp0_seed0_ld_mismatch_p05,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.156414140692143,-3.174252144826933
20260301_204447_w40_lp0_seed0_ld_mismatch_p10,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.156414140692143,-3.174252144826933
20260301_204447_w40_lp0_seed0_ld_mismatch_p20,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.156414140692143,-3.174252144826933
20260301_204447_w40_lp0_seed1_healthy_r0,healthy,ld_mismatch,ld_mismatch,uncertain,0,0,0,3.9605874259335216,-3.1808071399751667
20260301_204447_w40_lp0_seed1_healthy_r1,healthy,healthy,healthy,healthy,0,0,0,3.879320265365533,-3.192241776158226
20260301_204447_w40_lp0_seed1_healthy_r2,healthy,healthy,healthy,healthy,1,1,0,3.9779257839778985,-3.1392347687831608
20260301_204447_w40_lp0_seed1_rs_drift_p02,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,293.25256398051016,-1.0067733648860364
20260301_204447_w40_lp0_seed1_rs_drift_p05,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,1795.8494435878126,1.6448996522438968
20260301_204447_w40_lp0_seed1_rs_drift_p08,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,4580.510167721978,3.323468199195799
20260301_204447_w40_lp0_seed1_rs_drift_p10,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,7152.2362727028785,4.15989969425418
20260301_204447_w40_lp0_seed1_rs_drift_p15,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,16082.85619307835,5.713199149779089
20260301_204447_w40_lp0_seed1_rs_drift_p20,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,28593.607201335883,6.827947723580978
20260301_204447_w40_lp0_seed1_rs_drift_p30,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,64392.07331543739,8.402127283607848
20260301_204447_w40_lp0_seed1_rs_drift_p40,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,114579.5629495825,9.514843855997244
20260301_204447_w40_lp0_seed1_ld_mismatch_m20,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,3.9605874259335216,-3.1808071399751667
20260301_204447_w40_lp0_seed1_ld_mismatch_m10,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,3.9605874259335216,-3.1808071399751667
20260301_204447_w40_lp0_seed1_ld_mismatch_m05,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,3.9605874259335216,-3.1808071399751667
20260301_204447_w40_lp0_seed1_ld_mismatch_p05,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,3.9605874259335216,-3.1808071399751667
20260301_204447_w40_lp0_seed1_ld_mismatch_p10,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,3.9605874259335216,-3.1808071399751667
20260301_204447_w40_lp0_seed1_ld_mismatch_p20,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,3.9605874259335216,-3.1808071399751667
20260301_204447_w40_lp2_seed2_healthy_r0,healthy,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.0144424138694035,-3.2084691531199008
20260301_204447_w40_lp2_seed2_healthy_r1,healthy,healthy,healthy,healthy,0,0,0,3.9315894782717016,-3.165275978776185
20260301_204447_w40_lp2_seed2_healthy_r2,healthy,healthy,healthy,healthy,0,0,0,3.919368085820897,-3.1821261382094805
20260301_204447_w40_lp2_seed2_rs_drift_p02,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,314.20861386023944,-0.7146149237124875
20260301_204447_w40_lp2_seed2_rs_drift_p05,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,1932.1620172860682,2.112542516211429
20260301_204447_w40_lp2_seed2_rs_drift_p08,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,4930.235549797616,3.840137313512525
20260301_204447_w40_lp2_seed2_rs_drift_p10,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,7695.400280546449,4.690852588655127
20260301_204447_w40_lp2_seed2_rs_drift_p15,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,17287.82280621215,6.260667494360885
