tag,true_label,cp_prediction,prediction_set,max_probability,final_decision,fault_evidence,slow_gate_open,transient_gate_open,max_E_bar,transient_score,split_seed
20260301_204447_w40_lp1_seed0_healthy_r1,healthy,healthy,healthy,0.9827989121344993,healthy,0,0,0,3.7937451723192406,-3.2526032732794823,2
20260301_204447_w40_lp1_seed0_healthy_r2,healthy,healthy,healthy,0.9940658948604761,healthy,0,0,0,3.837307839601371,-3.238901444789735,2
20260301_204447_w40_lp1_seed0_rs_drift_p02,rs_drift,rs_drift,rs_drift,0.9914285714285714,rs_drift,1,1,1,208.48170589494924,-1.5480758034099065,2
20260301_204447_w40_lp1_seed0_rs_drift_p05,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,1248.0079359179776,0.8271805605381327,2
20260301_204447_w40_lp1_seed0_rs_drift_p08,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,3166.808534469897,2.4217500569639308,2
20260301_204447_w40_lp1_seed0_rs_drift_p10,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,4935.1235187851735,3.233739397487601,2
20260301_204447_w40_lp1_seed0_rs_drift_p15,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,11100.26812769129,4.760823344682734,2
20260301_204447_w40_lp1_seed0_rs_drift_p20,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,19743.065642548096,5.866439978659241,2
20260301_204447_w40_lp1_seed0_rs_drift_p30,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,44476.699572516474,7.435369741550668,2
20260301_204447_w40_lp1_seed0_rs_drift_p40,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,79178.52776446057,8.54756726616195,2
20260301_204447_w40_lp1_seed0_ld_mismatch_m20,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.147046736747987,-3.1742521448269336,2
20260301_204447_w40_lp1_seed0_ld_mismatch_m10,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.147046736747987,-3.1742521448269336,2
20260301_204447_w40_lp1_seed0_ld_mismatch_m05,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.147046736747987,-3.1742521448269336,2
20260301_204447_w40_lp1_seed0_ld_mismatch_p05,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.147046736747987,-3.1742521448269336,2
20260301_204447_w40_lp1_seed0_ld_mismatch_p10,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.147046736747987,-3.1742521448269336,2
20260301_204447_w40_lp1_seed0_ld_mismatch_p20,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.147046736747987,-3.1742521448269336,2
20260301_204447_w50_lp1_seed0_healthy_r0,healthy,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.147046736747987,-3.174252144826933,2
20260301_204447_w50_lp1_seed0_healthy_r1,healthy,healthy,healthy,0.9827989121344993,healthy,0,0,0,3.7937451723192406,-3.2526032732794823,2
20260301_204447_w50_lp1_seed0_healthy_r2,healthy,healthy,healthy,0.9940658948604761,healthy,0,0,0,3.837307839601371,-3.238901444789734,2
20260301_204447_w50_lp1_seed0_rs_drift_p02,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,199.19971590106195,-1.3405507595157404,2
20260301_204447_w50_lp1_seed0_rs_drift_p05,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,1190.8410961279346,1.280916126063091,2
20260301_204447_w50_lp1_seed0_rs_drift_p08,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,3020.8998251541016,2.9619111747807123,2
20260301_204447_w50_lp1_seed0_rs_drift_p10,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,4707.298161577645,3.799543265094348,2
20260301_204447_w50_lp1_seed0_rs_drift_p15,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,10574.874185638007,5.35452965944228,2
20260301_204447_w50_lp1_seed0_rs_drift_p20,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,18807.599131127485,6.470173368573901,2
20260301_204447_w50_lp1_seed0_rs_drift_p30,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,42365.32555733604,8.045350899332625,2
20260301_204447_w50_lp1_seed0_rs_drift_p40,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,75413.16803357066,9.158578527811109,2
20260301_204447_w50_lp1_seed0_ld_mismatch_m20,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.147046736747987,-3.174252144826933,2
20260301_204447_w50_lp1_seed0_ld_mismatch_m10,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.147046736747987,-3.174252144826933,2
20260301_204447_w50_lp1_seed0_ld_mismatch_m05,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.147046736747987,-3.174252144826933,2
20260301_204447_w50_lp1_seed0_ld_mismatch_p05,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.147046736747987,-3.174252144826933,2
20260301_204447_w50_lp1_seed0_ld_mismatch_p10,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.147046736747987,-3.174252144826933,2
20260301_204447_w50_lp1_seed0_ld_mismatch_p20,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.147046736747987,-3.174252144826933,2
20260301_204447_w50_lp1_seed2_healthy_r0,healthy,ld_mismatch,ld_mismatch,0.7588504544643614,uncertain,0,0,0,4.005736884232996,-3.2084691531199008,2
20260301_204447_w50_lp1_seed2_healthy_r1,healthy,healthy,healthy,1.0,healthy,0,0,0,3.922749303974559,-3.165275978776185,2
20260301_204447_w50_lp1_seed2_healthy_r2,healthy,healthy,healthy,0.9990683229813664,healthy,0,0,0,3.9098730561040975,-3.1821261382094805,2
20260301_204447_w50_lp1_seed2_rs_drift_p02,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,194.31100444614222,-1.3862355176986314,2
20260301_204447_w50_lp1_seed2_rs_drift_p05,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,1185.1280638113933,1.2559249556944452,2
20260301_204447_w50_lp1_seed2_rs_drift_p08,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,3021.245358993614,2.9463221465676925,2
20260301_204447_w50_lp1_seed2_rs_drift_p10,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,4715.4282455080765,3.7872315707210173,2
20260301_204447_w50_lp1_seed2_rs_drift_p15,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,10598.443906624383,5.3464965276974095,2
20260301_204447_w50_lp1_seed2_rs_drift_p20,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,18839.709993906574,6.464184372776394,2
20260301_204447_w50_lp1_seed2_rs_drift_p30,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,42416.869242568,8.041313986926832,2
20260301_204447_w50_lp1_seed2_rs_drift_p40,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,75485.97578309699,9.155481174582793,2
20260301_204447_w50_lp1_seed2_ld_mismatch_m20,ld_mismatch,ld_mismatch,ld_mismatch,0.7588504544643614,uncertain,0,0,0,4.005736884232996,-3.2084691531199008,2
20260301_204447_w50_lp1_seed2_ld_mismatch_m10,ld_mismatch,ld_mismatch,ld_mismatch,0.7588504544643614,uncertain,0,0,0,4.005736884232996,-3.2084691531199008,2
20260301_204447_w50_lp1_seed2_ld_mismatch_m05,ld_mismatch,ld_mismatch,ld_mismatch,0.7588504544643614,uncertain,0,0,0,4.005736884232996,-3.2084691531199008,2
20260301_204447_w50_lp1_seed2_ld_mismatch_p05,ld_mismatch,ld_mismatch,ld_mismatch,0.7588504544643614,uncertain,0,0,0,4.005736884232996,-3.2084691531199008,2
20260301_204447_w50_lp1_seed2_ld_mismatch_p10,ld_mismatch,ld_mismatch,ld_mismatch,0.7588504544643614,uncertain,0,0,0,4.005736884232996,-3.2084691531199008,2
20260301_204447_w50_lp1_seed2_ld_mismatch_p20,ld_mismatch,ld_mismatch,ld_mismatch,0.7588504544643614,uncertain,0,0,0,4.005736884232996,-3.2084691531199008,2
20260301_204447_w50_lp2_seed1_healthy_r0,healthy,ld_mismatch,ld_mismatch,0.7516596956086425,uncertain,0,0,0,3.9516771922600165,-3.1808071399751663,2
20260301_204447_w50_lp2_seed1_healthy_r1,healthy,healthy,healthy,1.0,healthy,0,0,0,3.870104596060742,-3.192241776158226,2
20260301_204447_w50_lp2_seed1_healthy_r2,healthy,healthy,healthy,0.998038825286212,healthy,0,0,0,3.970223491495485,-3.139234768783161,2
20260301_204447_w50_lp2_seed1_rs_drift_p02,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,297.69319581223675,-0.39996438684741625,2
20260301_204447_w50_lp2_seed1_rs_drift_p05,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,1828.0913227448682,2.6029005140898436,2
20260301_204447_w50_lp2_seed1_rs_drift_p08,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,4672.2829043190295,4.369810742809639,2
20260301_204447_w50_lp2_seed1_rs_drift_p10,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,7297.535832108691,5.229976496167001,2
20260301_204447_w50_lp2_seed1_rs_drift_p15,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,16409.768266877974,6.807953231852492,2
20260301_204447_w50_lp2_seed1_rs_drift_p20,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,29157.881001217578,7.931315737883741,2
20260301_204447_w50_lp2_seed1_rs_drift_p30,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,65533.29276261558,9.510863925372073,2
20260301_204447_w50_lp2_seed1_rs_drift_p40,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,116367.69148335283,10.624536017365072,2
20260301_204447_w50_lp2_seed1_ld_mismatch_m20,ld_mismatch,ld_mismatch,ld_mismatch,0.7516596956086425,uncertain,0,0,0,3.9516771922600165,-3.1808071399751663,2
20260301_204447_w50_lp2_seed1_ld_mismatch_m10,ld_mismatch,ld_mismatch,ld_mismatch,0.7516596956086425,uncertain,0,0,0,3.9516771922600165,-3.1808071399751663,2
20260301_204447_w50_lp2_seed1_ld_mismatch_m05,ld_mismatch,ld_mismatch,ld_mismatch,0.7516596956086425,uncertain,0,0,0,3.9516771922600165,-3.1808071399751663,2
20260301_204447_w50_lp2_seed1_ld_mismatch_p05,ld_mismatch,ld_mismatch,ld_mismatch,0.7516596956086425,uncertain,0,0,0,3.9516771922600165,-3.1808071399751663,2
20260301_204447_w50_lp2_seed1_ld_mismatch_p10,ld_mismatch,ld_mismatch,ld_mismatch,0.7516596956086425,uncertain,0,0,0,3.9516771922600165,-3.1808071399751663,2
20260301_204447_w50_lp2_seed1_ld_mismatch_p20,ld_mismatch,ld_mismatch,ld_mismatch,0.7516596956086425,uncertain,0,0,0,3.9516771922600165,-3.1808071399751663,2
20260301_204447_w60_lp2_seed0_healthy_r0,healthy,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.1470467367478205,-3.1742521448269336,2
20260301_204447_w60_lp2_seed0_healthy_r1,healthy,healthy,healthy,0.9827989121344993,healthy,0,0,0,3.793745172319261,-3.2526032732794823,2
20260301_204447_w60_lp2_seed0_healthy_r2,healthy,healthy,healthy,0.9940658948604761,healthy,0,0,0,3.837307839601371,-3.238901444789734,2
20260301_204447_w60_lp2_seed0_rs_drift_p02,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,281.3298459991585,-0.16505027353868235,2
20260301_204447_w60_lp2_seed0_rs_drift_p05,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,1737.904241543209,2.9799851093847405,2
20260301_204447_w60_lp2_seed0_rs_drift_p08,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,4445.095761312244,4.774769870290294,2
